date, pm25, pm10, no2, so2, co
2022/5/8, 82, 50, 5, 3, 8
2022/5/9, 82, 47, 7, 3, 9
2022/5/10, 75, 50, 5, 3, 8
2022/5/11, 73, 52, 5, 3, 9
2022/5/12, 75, 49, 5, 2, 16
2022/5/13, 70, 49, 6, 2, 16
2022/5/14, 79, 52, 7, 3, 4
2022/5/15, 80, , , , 
2022/5/23, 79, 56, 6, 3, 5
2022/5/24, 82, 53, 6, 3, 6
2022/5/25, 78, 51, 6, 3, 9
2022/5/26, 77, 51, 6, 3, 9
2022/5/27, 77, 53, 6, 3, 16
2022/5/28, 81, 49, 6, 3, 6
2022/5/29, 77, 52, 6, 3, 7
2022/5/30, 81, 53, 6, 3, 7
2022/5/31, 79, 52, 6, 3, 5
2022/6/1, 74, 50, 6, 3, 10
2022/6/2, 73, 55, 7, 3, 13
2022/6/3, 80, 54, 6, 3, 9
2022/6/4, 81, 52, 5, 2, 12
2022/6/5, 82, 54, 5, 2, 10
2022/6/6, 81, 49, 4, 3, 18
2022/6/7, 76, 49, 6, 2, 7
2022/6/8, 78, 51, 5, 3, 10
2022/6/9, 78, 53, 5, 2, 6
2022/6/10, 75, 54, 5, 2, 13
2022/6/11, 76, , , , 13
2022/6/13, 85, 54, 6, 2, 16
2022/6/14, 78, 50, 6, 3, 7
2022/6/15, 78, 53, 6, 2, 9
2022/6/16, 81, 56, 6, 2, 27
2022/6/17, 81, 53, 5, 3, 5
2022/6/18, 79, , , , 
2022/6/20, 77, 50, 6, 3, 10
2022/6/21, 75, 53, 5, 3, 10
2022/6/22, 76, 51, 5, 3, 13
2022/6/23, 78, 53, 5, 3, 5
2022/6/24, 78, 52, 5, 3, 7
2022/6/25, 78, 55, 5, 3, 7
2022/6/26, 77, 50, 5, 2, 14
2022/6/27, 74, 54, 6, 2, 5
2022/6/28, 78, 51, 6, 2, 4
2022/6/29, 77, 52, 5, 2, 9
2022/6/30, 78, 50, 5, 2, 35
2022/1/3, 73, 75, 5, 4, 6
2022/1/4, 75, 79, 6, 5, 8
2022/1/5, 82, 82, 5, 5, 14
2022/1/6, 87, 71, 5, 4, 3
2022/1/7, 74, 70, 5, 5, 14
2022/1/8, 87, 67, 6, 5, 8
2022/1/9, 87, 45, 11, 4, 8
2022/1/10, 73, 47, 5, 3, 9
2022/1/11, 64, 13, 5, 3, 2
2022/1/12, 69, , , , 
2022/1/17, 72, 31, 5, 3, 6
2022/1/18, 67, 32, 4, 4, 3
2022/1/19, 66, 39, 6, 4, 14
2022/1/20, 66, 40, 6, 3, 8
2022/1/21, 69, 40, 5, 3, 8
2022/1/22, 67, 40, 6, 3, 12
2022/1/23, 63, 47, 6, 4, 6
2022/1/24, 72, 49, 5, 5, 7
2022/1/25, 75, 49, 5, 5, 4
2022/1/26, 73, 51, 5, 4, 4
2022/1/27, 82, 42, 6, 4, 6
2022/1/28, 66, 42, 5, 4, 4
2022/1/29, 65, 53, 6, 4, 7
2022/1/30, 74, 40, 5, 5, 8
2022/1/31, 58, 31, 5, 6, 10
2022/2/1, 50, 44, 5, 6, 8
2022/2/2, 70, 47, 5, 5, 8
2022/2/3, 70, 51, 5, 5, 4
2022/2/4, 76, 50, 6, 5, 11
2022/2/5, 74, 45, 6, 5, 11
2022/2/6, 64, 49, 9, 5, 6
2022/2/7, 75, 52, 6, 5, 15
2022/2/8, 81, 47, 6, 5, 8
2022/2/9, 74, 38, 5, 5, 8
2022/2/10, 68, 47, 6, 5, 6
2022/2/11, 76, 52, 5, 5, 4
2022/2/12, 74, 76, 5, 6, 4
2022/2/13, 71, 57, 6, 6, 8
2022/2/14, 70, 45, 5, 5, 9
2022/2/15, 70, 41, 4, 5, 2
2022/2/16, 76, 43, 4, 5, 3
2022/2/17, 79, 47, 6, 5, 7
2022/2/18, 79, 49, 4, 5, 11
2022/2/19, 72, 50, 5, 5, 8
2022/2/20, 81, 46, 6, 6, 7
2022/2/21, 78, 43, 5, 5, 7
2022/2/22, 70, 42, 5, 5, 15
2022/2/23, 68, 45, 5, 5, 9
2022/2/24, 73, 46, 5, 5, 13
2022/2/25, 75, 48, 5, 4, 3
2022/2/26, 84, 46, 3, 5, 7
2022/2/27, 78, 51, 5, 6, 7
2022/2/28, 81, 46, 5, 6, 4
2022/3/1, 75, 50, 6, 6, 7
2022/3/2, 76, 51, 4, 6, 7
2022/3/3, 79, 50, 8, 6, 10
2022/3/4, 80, 48, 10, 6, 9
2022/3/5, 75, 47, 5, 6, 10
2022/3/6, 74, 46, 5, 6, 8
2022/3/7, 75, 46, 5, 6, 8
2022/3/8, 72, 46, 6, 7, 16
2022/3/9, 72, 48, 5, 7, 13
2022/3/10, 73, 37, 4, 4, 5
2022/3/11, 61, 47, 6, 6, 11
2022/3/12, 73, 48, 6, 6, 9
2022/3/13, 73, 50, 5, 6, 8
2022/3/14, 79, 50, 5, 5, 15
2022/3/15, 74, 48, 5, 6, 7
2022/3/16, 78, 50, 6, 6, 9
2022/3/17, 77, 45, 5, 5, 7
2022/3/18, 65, 48, 5, 5, 7
2022/3/19, 75, 53, 6, 7, 8
2022/3/20, 78, 51, 6, 6, 8
2022/3/21, 73, 48, 6, 4, 10
2022/3/22, 76, 50, 5, 4, 9
2022/3/23, 81, 48, 6, 5, 9
2022/3/24, 79, 47, 6, 3, 8
2022/3/25, 75, 49, 5, 3, 15
2022/3/26, 74, 50, 5, 3, 3
2022/3/27, 71, 51, 5, 3, 15
2022/3/28, 77, 50, 5, 3, 7
2022/3/29, 77, 49, 6, 3, 20
2022/3/30, 80, 51, 5, 3, 10
2022/3/31, 79, 52, 4, 2, 12
2021/12/28, 98, 28, 5, 5, 2
2021/12/29, 74, 52, 5, 5, 5
2021/12/30, 75, 53, 6, 5, 5
2021/12/31, 78, 51, 6, 5, 7
2022/1/1, 73, 54, 6, 5, 5
2022/1/2, 75, 56, 6, 5, 8
2023/4/30, , 53, 4, 4, 6
2023/5/21, , 85, 2, 5, 15
2023/4/2, , 93, 5, 5, 3
2023/4/23, , 45, 3, 4, 15
2023/1/8, , 40, 8, 3, 15
2023/1/23, , 46, 6, 4, 8
2023/1/26, , 50, 7, 3, 29
2023/1/29, , 57, 6, 4, 20
2022/10/23, , 62, 2, 4, 7
2022/8/15, , 49, 7, 4, 12
2022/8/21, , 51, 5, 2, 4
2022/5/22, , 54, 6, 3, 7
2022/6/12, , 50, 6, 2, 17
2022/6/19, , 49, 7, 3, 8
2022/1/16, , 22, 5, 3, 7
2021/12/27, , 55, 6, 4, 6
